Country,Continent,Gender,HDI
Afghanistan,Asia,Male,0.535610873
Albania,Europe,Male,0.793604613
Algeria,Africa,Male,0.773257248
Andorra,Europe,Male,
Angola,Africa,Male,0.616557703
Antigua and Barbuda,North America,Male,
Argentina,South America,Male,0.835521148
Armenia,Europe,Male,0.756110563
Australia,Oceania,Male,0.962956483
Austria,Europe,Male,0.923877356
Azerbaijan,Europe,Male,0.753249711
Bahamas,North America,Male,
Bahrain,Asia,Male,0.89407466
Bangladesh,Asia,Male,0.687568946
Barbados,North America,Male,0.772530747
Belarus,Europe,Male,0.802832
Belgium,Europe,Male,0.946127575
Belize,North America,Male,0.688837987
Benin,Africa,Male,0.558101711
Bhutan,Asia,Male,0.684476486
Bolivia,South America,Male,0.704911026
Bosnia and Herzegovina,Europe,Male,0.802005824
Botswana,Africa,Male,0.699553277
Brazil,South America,Male,0.754680006
Brunei,Asia,Male,0.833025563
Bulgaria,Europe,Male,0.796486006
Burkina Faso,Africa,Male,0.470559026
Burundi,Africa,Male,0.440934982
Cabo Verde,Africa,Male,0.666122007
Cambodia,Asia,Male,0.615205049
Cameroon,Africa,Male,0.610395901
Canada,North America,Male,0.941126183
Central African Republic,Africa,Male,0.443253806
Chad,Africa,Male,0.440888916
Chile,South America,Male,0.867267868
China,Asia,Male,0.773243024
Colombia,South America,Male,0.755726924
Comoros,Africa,Male,0.585432331
Congo,Africa,Male,0.590449068
Costa Rica,North America,Male,0.809722197
Croatia,Europe,Male,0.859239831
Cuba,North America,Male,0.774843635
Cyprus,Europe,Male,0.907058666
Czechia,Europe,Male,0.893197721
Denmark,Europe,Male,0.956524411
Djibouti,Africa,Male,
Dominica,North America,Male,
Dominican Republic,North America,Male,0.760780375
Ecuador,South America,Male,0.745435732
Egypt,Africa,Male,0.75526319
El Salvador,North America,Male,0.684866967
Equatorial Guinea,Africa,Male,
Eritrea,Africa,Male,
Estonia,Europe,Male,0.879365759
Eswatini,Africa,Male,0.601355621
Ethiopia,Africa,Male,0.518618804
Fiji,Oceania,Male,0.75013651
Finland,Europe,Male,0.944567946
France,Europe,Male,0.906690802
Gabon,Africa,Male,0.734791954
Gambia,Africa,Male,0.51992186
Georgia,Europe,Male,0.797741455
Germany,Europe,Male,0.952180253
Ghana,Africa,Male,0.649352665
Greece,Europe,Male,0.900182194
Grenada,North America,Male,
Guatemala,North America,Male,0.649879506
Guinea,Africa,Male,0.501452822
Guinea-Bissau,Africa,Male,0.516530263
Guyana,South America,Male,0.719594973
Haiti,North America,Male,0.563765577
Honduras,Asia,Male,0.633043539
Hong Kong,Europe,Male,0.964310833
Hungary,Europe,Male,0.850884145
Iceland,Asia,Male,0.970604052
India,Asia,Male,0.667813533
Indonesia,Asia,Male,0.723345599
Iran,Asia,Male,0.79971899
Iraq,Europe,Male,0.728293315
Ireland,Asia,Male,0.946695538
Israel,Europe,Male,0.921975238
Italy,Africa,Male,0.906110064
Ivory Coast,North America,Male,0.581439618
Jamaica,Asia,Male,0.710547842
Japan,Asia,Male,0.936097221
Jordan,Asia,Male,0.747658804
Kazakhstan,Asia,Male,0.810586606
Kenya,Africa,Male,0.592213974
Kiribati,Oceania,Male,
Kuwait,Asia,Male,0.823823695
Kyrgyzstan,Asia,Male,0.698277778
Lao,Asia,Male,0.622723509
Latvia,Europe,Male,0.851825526
Lebanon,Asia,Male,0.736555974
Lesotho,Africa,Male,0.519143817
Liberia,Africa,Male,0.512798524
Libya,Africa,Male,0.726310597
Liechtenstein,Europe,Male,
Lithuania,Europe,Male,0.861661897
Luxembourg,Europe,Male,0.931456058
Madagascar,Africa,Male,0.512325749
Malawi,Africa,Male,0.518874061
Malaysia,Asia,Male,0.809075378
Maldives,Asia,Male,0.76638536
Mali,Africa,Male,0.449875276
Malta,Europe,Male,0.925314241
Marshall Islands,Oceania,Male,
Mauritania,Africa,Male,0.581885717
Mauritius,Africa,Male,0.811010462
Mexico,North America,Male,0.761102122
Micronesia,Oceania,Male,
Moldova,Europe,Male,0.763199634
Mongolia,Asia,Male,0.726425808
Montenegro,Europe,Male,0.839623822
Morocco,Africa,Male,0.721809682
Mozambique,Africa,Male,0.464036211
Myanmar,Asia,Male,0.598757287
Namibia,Africa,Male,0.613057327
Nepal,Asia,Male,0.620507697
Netherlands,Europe,Male,0.956065754
New Zealand,Oceania,Male,0.948211623
Nicaragua,North America,Male,0.677703928
Niger,Africa,Male,0.436370503
Nigeria,Africa,Male,0.573601517
North Macedonia,Europe,Male,0.789290229
Norway,Europe,Male,0.966060981
Oman,Asia,Male,0.83546697
Pakistan,Asia,Male,0.581877317
Palau,Oceania,Male,
"Palestine, State of",Asia,Male,0.734872627
Panama,North America,Male,0.798281932
Papua New Guinea,Oceania,Male,0.577731745
Paraguay,South America,Male,0.719878431
Peru,South America,Male,0.781076189
Philippines,Asia,Male,0.701549702
Poland,Europe,Male,0.871513813
Portugal,Europe,Male,0.867492871
Qatar,Asia,Male,0.849982592
Romania,Europe,Male,0.823464389
Russian Federation,Asia,Male,0.81516103
Rwanda,Africa,Male,0.546603488
Saint Kitts and Nevis,North America,Male,
Saint Lucia,North America,Male,0.710892671
Saint Vincent and the Grenadines,North America,Male,0.761469
Samoa,Oceania,Male,0.716499047
San Marino,Europe,Male,
Sao Tome and Principe,Africa,Male,0.643189149
Saudi Arabia,Asia,Male,0.900720984
Senegal,Africa,Male,0.542992333
Serbia,Europe,Male,0.808468225
Seychelles,Africa,Male,
Sierra Leone,Africa,Male,0.505719508
Singapore,Asia,Male,0.943210266
